Date,Close,High,Low,Open,Volume
2024-01-01,983.28271484375,988.6447747328209,975.0181575005023,975.5592756483813,7683792
2024-01-02,966.4092407226562,981.5609087309073,964.4414947501999,980.9213672695223,16263825
2024-01-03,968.1802978515625,972.06660854976,959.3746217254817,968.8198393775264,16826752
2024-01-04,971.2302856445312,973.1980317046522,966.0649522367138,970.4923808719859,22789140
2024-01-05,977.6746215820312,982.2004134055409,967.9342547673281,972.0665334175308,14875499
2024-01-08,966.1632690429688,982.1020233733977,964.4906729621558,977.9697448357546,8393164
2024-01-09,963.9495849609375,978.9536484165683,959.6697613726194,970.3447595485834,14660414
2024-01-10,977.0350952148438,978.9044779822007,958.5874760008375,958.5874760008375,9409181
2024-01-11,975.165771484375,982.3972141884088,970.9350694416869,979.2488085023233,6451345
2024-01-12,987.3165893554688,992.432741141072,975.7560812090544,978.7568819517846,12255743
2024-01-15,993.5641479492188,995.3351674307465,983.1351179289786,987.3165782754367,12388044
2024-01-16,992.777099609375,999.4182427672283,988.3988524803248,989.8746620709588,11505126
2024-01-17,965.9173583984375,991.5472391168444,960.9979931914172,971.9682016234104,41914771
2024-01-18,970.443115234375,978.2649176405237,954.5044205813539,958.2431259931632,17902484
2024-01-19,983.0859375,994.5972638899035,971.6237927511231,975.3133165907817,23271148
2024-01-23,1012.45458984375,1042.3151122922168,1004.7311505255955,1042.0199023424595,50797448
2024-01-24,983.0859375,1019.2432110778104,980.5770732992008,1012.8480364224022,34578943
2024-01-25,993.66259765625,998.7295078271164,972.214177202352,982.2988759526587,28315035
2024-01-29,1000.0086059570312,1015.3570017302902,993.7117943290631,1003.5505249659846,14078922
2024-01-30,1000.5005493164062,1007.338419115052,991.7440549694523,998.5819848189448,16085742
2024-01-31,1011.569091796875,1022.2440902784828,987.070629039353,1000.4020967435955,25627447
2024-02-01,1008.617431640625,1017.2754419939521,1000.9924158779978,1017.2754419939521,13058880
2024-02-02,1007.4859619140625,1033.0666601657867,1005.1738843616477,1020.3746743205556,14774650
2024-02-05,1006.9940795898438,1009.8964570838909,995.7779026556566,1006.0102065272255,12948430
2024-02-06,1009.8472900390625,1018.2102106949073,1000.3037097510473,1007.0432159063025,12886927
2024-02-07,1005.6658935546875,1014.9143245344969,996.6634308450767,1011.4215270569979,16410895
2024-02-08,973.3456420898438,1011.6675111981591,969.3609680602832,1007.5844138284667,20565502
2024-02-09,994.4005126953125,997.401313514954,969.6068995994941,972.9028503266528,12799837
2024-02-12,980.0359497070312,995.8763423051639,969.3609508231015,994.1053827736114,8050066
2024-02-13,1003.3536987304688,1010.4868382114652,984.1681747459204,989.7762629977263,18706292
2024-02-14,1006.2069702148438,1018.997259686499,991.3012696355923,993.2690157159769,17878720
2024-02-15,1000.2545776367188,1010.0933083072188,990.3666052721892,1006.3545426117516,10069878
2024-02-16,1006.7481079101562,1009.650485394361,1000.5005380040549,1006.6989262673613,7159395
2024-02-19,1026.91748046875,1029.1311947979043,1006.8464465307476,1006.8464465307476,9388255
2024-02-20,1031.8369140625,1035.6740431744663,1016.5868810060339,1024.2611392299666,11293528
2024-02-21,1034.9852294921875,1046.8409480440782,1031.0989789005582,1039.7571099701715,15946325
2024-02-22,1045.5618896484375,1048.808718901475,1023.5232284095382,1038.969987954932,13432573
2024-02-23,1044.1844482421875,1052.7440951810236,1040.5932878224016,1052.7440951810236,13142759
2024-02-26,1037.198974609375,1045.1684428055735,1033.5586921778424,1036.116738219057,7875941
2024-02-27,1043.10205078125,1049.0052884655845,1029.6230394426907,1033.8044994690943,10580973
2024-02-28,1029.327880859375,1047.6771362637548,1025.3432672847086,1045.8569952406344,7730332
2024-02-29,1035.231201171875,1043.5941223069317,1021.7521880889905,1026.22885861961,20944844
2024-03-01,1069.37158203125,1072.3723226042753,1037.0021364831193,1037.986009477885,14909562
2024-03-04,1074.733642578125,1077.3409300364494,1062.6811983836533,1063.5667080999103,11424581
2024-03-05,1070.5030517578125,1081.768349420518,1059.139270715041,1068.682790650156,9222544
2024-03-06,1079.4071044921875,1095.5918883060335,1062.878109231162,1062.878109231162,21796484
2024-03-07,1070.4046630859375,1077.3410163000535,1065.2393294461426,1077.2917746056637,9963926
2024-03-11,1061.3038330078125,1070.4046589090813,1059.3853285611954,1070.4046589090813,13310362
2024-03-12,1059.483642578125,1077.1442354316735,1038.625582496139,1059.6804892440682,21785435
2024-03-13,1066.4691162109375,1072.0772645081547,1055.8433596138777,1059.77885170946,24855870
2024-03-14,1066.124755859375,1079.4070413229927,1057.7127137934276,1062.5828370894137,14231421
2024-03-15,1062.9271240234375,1068.7319984843327,1052.744062948894,1054.711808860948,66192734
2024-03-18,1063.763427734375,1067.3054665763489,1042.9546100970365,1057.7127049329833,8769440
2024-03-19,1066.4691162109375,1071.1917547663113,1057.9094689437209,1061.0578145795118,16708715
2024-03-20,1067.01025390625,1072.4215553322383,1050.2844131350132,1062.582825466805,18725251
2024-03-21,1064.3538818359375,1082.2603227720363,1061.7465943107402,1074.3893386064215,19992607
2024-03-22,1072.716796875,1076.061869046459,1061.303773813482,1063.7143347625467,17214415
2024-03-26,1066.22314453125,1071.585324555275,1059.58200164128,1063.5667354159368,13367635
2024-03-27,1066.2724609375,1074.8813504721743,1062.1402420015347,1066.223219242338,26907245
2024-03-28,1075.66845703125,1087.2289654055658,1067.5022626495677,1067.5022626495677,22070566
