Date,Close,High,Low,Open,Volume
2024-01-01,3482.784912109375,3501.884348671573,3447.9670270192705,3463.5025264784085,825907
2024-01-02,3457.288330078125,3482.7849604684966,3442.7124205931514,3482.7849604684966,1344068
2024-01-03,3373.716552734375,3446.9162616362587,3369.4214885871284,3442.483985684402,1803075
2024-01-04,3350.91552734375,3398.6185993899944,3336.4766083282793,3382.854638422133,3598144
2024-01-05,3415.89111328125,3424.8926547692495,3358.2728588729105,3358.409847582414,1963127
2024-01-08,3361.425048828125,3417.581262942363,3356.033183042012,3415.8905458931986,1067805
2024-01-09,3372.026123046875,3429.096421850745,3365.4921632868704,3390.348920468523,1370944
2024-01-10,3393.181884765625,3407.986258562806,3370.289822773917,3372.11752875156,1292227
2024-01-11,3413.743408203125,3447.9671563203865,3387.6528620407294,3403.188362082459,1777909
2024-01-12,3548.308349609375,3568.824304124089,3492.3805925763054,3516.5062216937445,6813450
2024-01-15,3567.498779296875,3623.426528763509,3550.318301197032,3618.857264540604,2801505
2024-01-16,3528.66015625,3563.1123650684103,3523.4055022107223,3563.1123650684103,1432672
2024-01-17,3549.952880859375,3573.11891681027,3484.1097382002936,3490.0040444785163,3458696
2024-01-18,3566.40234375,3572.06818699225,3529.299827526345,3562.198531252639,2239110
2024-01-19,3628.47119140625,3647.3356893209884,3602.7050479129484,3630.265574324088,2941975
2024-01-23,3550.4365234375,3620.05103164089,3536.1731226435436,3588.855683640575,2618854
2024-01-24,3535.29931640625,3573.8103676439687,3501.9874154730123,3570.4516563375996,2657709
2024-01-25,3506.312744140625,3552.967832360233,3477.2337152693226,3533.55110917134,2205154
2024-01-29,3497.75390625,3515.2380746842937,3479.2115753809107,3497.5699073043315,1646747
2024-01-30,3497.339599609375,3540.8199627037898,3484.8705828264347,3503.689023084978,1411621
2024-01-31,3511.511474609375,3528.12148113154,3493.5671947757637,3507.140432085803,2459358
2024-02-01,3546.66357421875,3593.364709605868,3501.4809356666156,3515.2381710106256,2363107
2024-02-02,3649.86669921875,3666.522537605696,3563.089954213246,3565.896668660393,2826510
2024-02-05,3656.30810546875,3701.1227492201515,3646.0016922235036,3665.2341894937504,1691523
2024-02-06,3806.028076171875,3818.8190381100667,3671.6760212586514,3678.1175581380526,4474396
2024-02-07,3757.62353515625,3823.5113292756027,3748.927507390482,3821.670890609285,2124267
2024-02-08,3804.279052734375,3826.272206190014,3760.0624663137096,3763.697287955064,2345173
2024-02-09,3803.91162109375,3850.8886480018823,3772.9000434452996,3806.533887272955,2100596
2024-02-12,3791.948486328125,3827.7449332471438,3778.006802130109,3800.5063475256047,1013716
2024-02-13,3818.450927734375,3837.3154280400877,3755.8759998910355,3796.3198278378054,1257415
2024-02-14,3772.991943359375,3786.6110118014235,3726.4287482560744,3779.3413678448446,1391283
2024-02-15,3775.844970703125,3815.506073147937,3757.2563563905555,3798.6662354102896,1091582
2024-02-16,3798.942138671875,3817.024812052794,3772.99221729805,3785.0930143565315,1307556
2024-02-19,3776.396240234375,3798.9416158104596,3731.4897126948135,3794.1104639012988,772291
2024-02-20,3709.08203125,3771.0588943048815,3690.0795915477242,3756.4274965127934,1193648
2024-02-21,3673.05615234375,3739.174013609637,3663.0258496095253,3692.840871691211,1885939
2024-02-22,3761.029052734375,3768.252640712782,3654.191483338692,3654.191483338692,2982052
2024-02-23,3728.821533203125,3800.5065425299695,3723.5761023123614,3800.5065425299695,2538072
2024-02-26,3681.843994140625,3726.8886902919344,3665.0039336444943,3714.0056182761105,1379284
2024-02-27,3776.948974609375,3794.985367384539,3679.957925356637,3679.957925356637,2960475
2024-02-28,3790.338134765625,3823.4197548467,3762.7773821335977,3768.850920451233,1939225
2024-02-29,3768.390625,3807.96005993707,3740.277876873748,3771.979390861673,3772719
2024-03-01,3767.700439453125,3809.7083657464814,3760.7527379598155,3779.5253487627083,2043265
2024-03-04,3755.1396484375,3789.371768720034,3750.722549928762,3777.5010270993284,1749271
2024-03-05,3692.0126953125,3739.7719968440197,3662.4735599013775,3737.931557869195,2070859
2024-03-06,3740.047607421875,3747.133251594711,3642.6422978412556,3675.4021970769513,1744204
2024-03-07,3780.814453125,3794.9857455297238,3715.5707467078873,3740.6927874826206,2688905
2024-03-11,3793.467041015625,3821.671679534189,3762.77763005425,3762.77763005425,2304068
2024-03-12,3857.7900390625,3892.482492505704,3792.270233646347,3793.4667885423355,4039801
2024-03-13,3817.99072265625,3902.650917036673,3802.2548792703546,3869.5230148878118,2837260
2024-03-14,3871.915283203125,3887.9270110877537,3760.0165129714937,3822.0854919676153,2919608
2024-03-15,3882.635498046875,3900.8098302353983,3843.756230453706,3858.111742199432,3373143
2024-03-18,3821.211181640625,3915.3036183228055,3789.3256682682727,3878.9549508514497,1526904
2024-03-19,3659.989013671875,3734.250681402964,3650.142710085243,3728.0391998604628,8931209
2024-03-20,3654.099365234375,3697.441791681991,3644.2530619412323,3667.994768950826,1817913
2024-03-21,3655.986083984375,3688.6078209191865,3633.0266519750294,3671.7219275853204,3829582
2024-03-22,3598.886474609375,3623.8245137694216,3547.4462926818487,3586.095512991223,5852485
2024-03-26,3568.151611328125,3631.8307647201955,3562.584237640262,3565.851062255702,3440925
2024-03-27,3534.470947265625,3584.2549115114957,3523.8884231366437,3578.2734848298974,1968575
2024-03-28,3567.04638671875,3602.65883138375,3534.1024883599725,3542.9366841718333,4311783
