Date,Close,High,Low,Open,Volume
2024-01-01,3432.108642578125,3444.3264109890674,3403.487144521857,3444.3264109890674,777080
2024-01-02,3347.071533203125,3432.1086757607013,3341.132944262997,3431.719361397301,1511464
2024-01-03,3349.261962890625,3374.0868143241737,3321.273159803781,3342.1064694655865,1283859
2024-01-04,3367.126220703125,3387.959769542773,3332.371473727195,3349.9436232493176,1651616
2024-01-05,3428.652587890625,3460.876313332966,3368.391573595517,3373.2104677622956,2069018
2024-01-08,3408.403564453125,3465.6952855965674,3397.5973574433146,3446.2735373493792,1993855
2024-01-09,3461.80126953125,3498.6005099081913,3426.90059035493,3434.0558463570214,1807271
2024-01-10,3451.6279296875,3464.721774594502,3426.8030778451557,3455.9600621795576,1534821
2024-01-11,3412.05419921875,3465.3058912719607,3407.868000308086,3451.6278374986227,1105348
2024-01-12,3474.31103515625,3483.900099910731,3401.5401468115224,3412.2489063003786,1782631
2024-01-15,3449.242919921875,3510.23407983068,3444.375301806993,3481.417923196578,1783518
2024-01-16,3478.88671875,3493.9763351318734,3444.326629617322,3454.061865992724,1791818
2024-01-17,3476.404052734375,3518.7523293447257,3453.7696290288427,3460.876398845912,2699076
2024-01-18,3500.791015625,3521.1862883836993,3431.6708370628826,3476.258267388991,2148898
2024-01-19,3549.467041015625,3559.056343533904,3507.6055262696923,3507.6055262696923,1913923
2024-01-23,3456.982177734375,3564.4105981536663,3442.5739814436324,3541.289413495488,1742142
2024-01-24,3494.170654296875,3522.159456168511,3428.4578151199903,3475.4790497996682,3711521
2024-01-25,3498.30810546875,3522.4515367145805,3470.4167512125587,3504.5872847452247,2206540
2024-01-29,3609.825439453125,3634.9911191003416,3504.782340101729,3508.578986998129,2072982
2024-01-30,3537.103271484375,3638.9336953675434,3528.9255308046827,3617.5649003174335,1454989
2024-01-31,3387.618896484375,3444.3266486850257,3297.3733023201326,3426.8032231122925,9637606
2024-02-01,3308.033203125,3401.2480881159413,3281.748065842959,3387.8621385741612,6149780
2024-02-02,3286.66455078125,3345.368074137656,3272.0129723817845,3312.608860862017,7579802
2024-02-05,3253.2724609375,3317.719675140498,3230.5893137268954,3286.1288821409535,2954238
2024-02-06,3333.58837890625,3336.995711702095,3249.1839254702268,3257.4101528277174,2545192
2024-02-07,3304.820556640625,3355.7358890607493,3299.2715195900437,3353.788841837622,2099940
2024-02-08,3247.187744140625,3327.308778437391,3206.640584064091,3322.6358179439226,3471727
2024-02-09,3236.528076171875,3300.2451510965016,3221.3410122643027,3247.918255264219,3121873
2024-02-12,3212.189697265625,3250.7410874836023,3199.971929100477,3241.8334420153906,1922273
2024-02-13,3233.55859375,3250.157218441266,3197.1489066721606,3224.3101196748457,2151493
2024-02-14,3221.3896484375,3229.1291136567993,3176.6562857746753,3202.941423431917,2502138
2024-02-15,3212.919921875,3233.9966123327604,3203.0872386363435,3221.3895294942777,1999189
2024-02-16,3297.0810546875,3308.033195195431,3216.5707004445326,3217.4467766145026,2768329
2024-02-19,3251.423095703125,3317.768638159021,3247.1881727052273,3310.5159344166905,1216447
2024-02-20,3267.875244140625,3278.584003412405,3240.324479569715,3251.4227908755515,1578162
2024-02-21,3209.122802734375,3268.020975079116,3202.9410710529346,3268.020975079116,2430672
2024-02-22,3274.690185546875,3279.801184721641,3190.188284988733,3222.3632892337882,2521388
2024-02-23,3298.249267578125,3309.882827184458,3252.299000712904,3274.690043747072,2107176
2024-02-26,3378.272705078125,3399.2034617322174,3303.16545708538,3309.980122042526,4122419
2024-02-27,3413.61181640625,3419.0149199797056,3360.506055919638,3382.99454639222,2122286
2024-02-28,3378.321533203125,3419.988390621347,3354.908243198552,3412.20020185819,1666903
2024-02-29,3385.47705078125,3403.438513708711,3345.465135655257,3392.7297540831973,2119512
2024-03-01,3537.2978515625,3561.4900070738727,3407.3324564383515,3408.9386752400123,4407803
2024-03-04,3547.9580078125,3582.3721618650525,3526.1511744193917,3572.831583126821,1307501
2024-03-05,3516.951416015625,3547.957999748582,3495.2417924250776,3535.058812182142,1981370
2024-03-06,3545.767578125,3555.7461949398426,3491.104323522162,3522.208354741387,1500196
2024-03-07,3579.59765625,3607.0509750228152,3546.7899575234683,3563.826621012567,2344401
2024-03-11,3544.210205078125,3602.037413346041,3535.302321301283,3602.037413346041,1748541
2024-03-12,3525.76171875,3574.778728024377,3517.4867679906843,3542.7011723221276,1470377
2024-03-13,3444.86181640625,3540.5105054996834,3418.9172711097776,3538.660668142778,2503293
2024-03-14,3512.66796875,3539.731973619388,3428.750278076866,3433.6666200200048,4528490
2024-03-15,3443.4990234375,3507.605649742003,3430.746006451044,3502.7380315769433,4054210
2024-03-18,3466.912353515625,3477.621113599743,3433.325787797255,3443.499062341833,1354787
2024-03-19,3408.987548828125,3455.5220245286837,3388.8356578065495,3447.2470739135283,1447405
2024-03-20,3416.775634765625,3431.6218692458056,3395.4068398852205,3410.0096934722833,1442811
2024-03-21,3465.743896484375,3500.79074487579,3431.816505123692,3431.816505123692,2504962
2024-03-22,3522.013671875,3550.732617620486,3452.3092881474963,3452.3092881474963,3020545
2024-03-26,3572.928955078125,3579.5487252234566,3504.684857640628,3509.552475498462,2320963
2024-03-27,3608.267822265625,3628.5171609407685,3572.9291052735357,3585.487464804003,2387693
2024-03-28,3664.245361328125,3712.3862932051306,3599.652213455611,3608.4139258038645,4278668
