Date,Close,High,Low,Open,Volume,Daily_Return,Cumulative_Return,SMA20,SMA50,EMA20,RSI,MACD,MACD_Signal,Volatility,Drawdown,Volume_Ratio,Trend
2024-03-13,368.14544677734375,381.6965418107758,367.01257538721455,379.0821934747563,105525827,0.0445046958332338,-0.0836512812971244,356.51158142089844,375.95902282714843,359.99274825206817,55.207371584305044,-3.940289907966246,-6.087143184644338,0.014753062693058856,-0.10131582240911984,4.996373816313455,Bearish
2024-03-14,365.7054138183594,370.8034184912404,364.2675193135294,367.7097716994342,31949569,-0.006627904759773151,-0.08972475333142726,356.864518737793,375.2380798339844,360.536811639334,52.77551059187702,-3.0567951969628098,-5.481073587108034,0.014683869141291305,-0.10727221554730727,1.4465287879909199,Bearish
2024-03-15,365.2261352539063,373.4613697646107,361.87104789588255,363.57038287805614,76074975,-0.0013105591176485465,-0.09091772285551858,357.52682342529295,374.46806701660154,360.9834138883409,52.28829280505754,-2.367996261039366,-4.858458121894301,0.01395631216022043,-0.10844218808479988,3.0635421578856277,Bearish
2024-03-18,363.7882080078125,366.62044193009535,363.3089098568447,365.13896487478166,16547358,-0.003937087484427004,-0.09449685931117857,358.0867324829102,373.5508428955078,361.2505371378144,50.77381105620181,-1.9160597096648075,-4.269978439448402,0.014018186290914449,-0.11195232918773437,0.6978610984243653,Bearish
2024-03-19,356.9037170410156,365.61824861989226,356.16297854254486,364.26749180614473,21803126,-0.018924447838751912,-0.11163300626497019,358.0998031616211,372.51052124023437,360.8365542714526,44.176453342459176,-2.089333090302034,-3.833849369619129,0.014535304667455708,-0.1287581410123462,0.9114423859227423,Bearish
2024-03-20,362.26318359375,363.091059724766,356.9037386154801,357.2958991887677,20364534,0.015016561321266497,-0.09829278882775894,358.51810150146486,371.6194482421875,360.972423730719,49.66018618693699,-1.7737427308645124,-3.4218280418682054,0.01477646393704588,-0.11567508421120384,0.8412156940832377,Bearish
2024-03-21,367.0997314453125,367.75330475277406,362.6988829853085,365.1389562851568,19968509,0.01335092294939444,-0.08625416532848496,359.29805145263674,370.9701678466797,361.55597684639457,54.04720413167526,-1.1204502533360028,-2.961552484161765,0.014884688019246108,-0.10386853039827787,0.8251871442169791,Bearish
2024-03-22,373.50494384765625,374.4199576084592,367.0997646653715,367.0997646653715,40358503,0.01744815333186356,-0.07031098789878476,359.9146041870117,370.4653009033203,362.6939737036576,59.127320348459335,-0.08488563909298819,-2.38621911514801,0.014137357213075215,-0.08823269111115879,1.5983166630035237,Bearish
2024-03-26,372.6770629882813,374.0278199287093,370.84700787081954,370.84700787081954,10669833,-0.0022165191465648437,-0.07237166139445805,360.6226608276367,369.96533630371096,363.644744111717,58.23126076277442,0.6613797381455129,-1.7766993444893053,0.014008686210457736,-0.09025364080852277,0.4233174830061804,Bearish
2024-03-27,372.9820251464844,373.7663462493522,371.6312683263577,372.1105664607041,12698464,0.0008183013887619328,-0.07161258183672226,361.4418258666992,369.48262878417967,364.534008972171,58.480869473488355,1.2628509638369678,-1.1687892828240507,0.013905226564325721,-0.08950919409937518,0.4994338252494163,Bearish
2024-03-28,373.2870178222656,377.5571180839597,372.1105362634369,372.9819948784972,29009002,0.0008177141396061849,-0.07085342631785763,362.19127502441404,368.936494140625,365.3676288626562,58.7463902244925,1.7440275397106006,-0.5862259183171205,0.013896988845631186,-0.08876467289340877,1.0958374762338445,Bearish
