Date,Close,High,Low,Open,Volume,Daily_Return,Cumulative_Return,SMA20,SMA50,EMA20,RSI,MACD,MACD_Signal,Volatility,Drawdown,Volume_Ratio,Trend
2024-03-13,1484.9747314453125,1497.046924837975,1473.1329238521018,1486.3570462420234,5688997,-0.0009610224187920346,0.03870818785408958,1523.7348083496095,1506.4890698242189,1511.9088489638652,41.11327321628131,-10.614873643897226,-2.6114865942946275,0.009868836001724557,-0.06825864222139758,1.131067175067282,Bullish
2024-03-14,1523.58740234375,1527.6882245455754,1481.8414508033693,1487.7393497230903,8803799,0.026002241035344875,0.06571692852005784,1523.1404113769531,1508.368095703125,1513.0210921429018,52.52181980528072,-8.180616266357674,-3.725312528707237,0.01147095865436396,-0.044031278853838875,1.6669058338586713,Bullish
2024-03-15,1505.801513671875,1516.6757678865583,1491.3793408128192,1512.3444475668186,11809997,-0.011673691082319748,0.05327607831531611,1521.1890380859375,1510.20380859375,1512.3335132408993,47.91680367847693,-7.599025494060925,-4.500055121777974,0.011634501815126829,-0.05519096238885946,2.0975779664244643,Bullish
2024-03-18,1476.9112548828125,1504.5575513115562,1473.4093456712776,1502.11543929507,4958904,-0.019185967424494077,0.033067957787759505,1516.6274047851562,1512.2800439453124,1508.9599648258434,41.544894252570586,-9.361400655701345,-5.472324228562648,0.011630693116966136,-0.07331803780683442,0.88014117602875,Bullish
2024-03-19,1438.9437255859375,1473.5477211325924,1435.764446231757,1467.4194357537194,6870411,-0.025707387069704213,0.006510479927600787,1510.2549438476562,1513.1785522460937,1502.2917515648999,34.96446494315008,-13.664245063509952,-7.110708395552109,0.012681426518450977,-0.09714060969944711,1.185947067599358,Bearish
2024-03-20,1432.9534912109375,1451.3843544053573,1430.5575014942751,1440.371958643916,4759059,-0.004162938597588872,0.0023204386018325085,1504.2510864257813,1513.5913989257813,1495.6881077216653,34.048146954311136,-17.35755501904646,-9.16007772025098,0.0126397006282709,-0.10089915790352483,0.8140962359985608,Bearish
2024-03-21,1432.7232666015625,1453.2276042120811,1422.309895221054,1441.293663948357,11062497,-0.0001606643975446964,0.00215940139241777,1499.6042053222657,1514.1793408203125,1489.6914561864173,34.01125475099987,-20.071732531180032,-11.34240868243679,0.012241562948686469,-0.1010436113986522,1.7889138781696197,Bearish
2024-03-22,1390.470458984375,1408.9474454626866,1380.6560012352104,1401.6672315575609,14673890,-0.02949125529133878,-0.027395537356661226,1491.6559020996094,1513.8024291992188,1480.2418374052704,28.012268075032537,-25.340081531160877,-14.141943252181608,0.012765323532437069,-0.1275549637506745,2.2147433281300413,Bearish
2024-03-26,1375.54150390625,1389.1802760076575,1371.164173630106,1374.942478317217,8351081,-0.010736621538173008,-0.03783802337840092,1483.1684936523438,1513.3001879882813,1470.2703770720304,26.250490080295165,-30.369843329045807,-17.38752326755445,0.012804638271407737,-0.13692207591774117,1.2327320925756438,Bearish
2024-03-27,1367.431884765625,1381.3932870499673,1365.312402855052,1378.628657389427,6857402,-0.005895583025008921,-0.04351052919508025,1475.0450866699218,1513.1094287109374,1460.476234947611,25.31894424116713,-34.61136599867427,-20.832291813778415,0.0127660685852904,-0.1420104234762205,0.9826895912783322,Bearish
2024-03-28,1380.5177001953125,1393.188917951044,1370.472857803067,1370.472857803067,12499530,0.009569628714581446,-0.03435728009007066,1467.417010498047,1510.9954077148439,1452.861136399773,29.65678912390821,-36.496182061699756,-23.965069863362682,0.01310612111998888,-0.13379978178790689,1.7017231295693538,Bearish
