Date,Close,High,Low,Open,Volume,Daily_Return,Cumulative_Return,SMA20,SMA50,EMA20,RSI,MACD,MACD_Signal,Volatility,Drawdown,Volume_Ratio,Trend
2024-03-13,699.1915893554688,704.5537583020961,694.2602641088363,701.6332902428926,63067454,0.0005824146923627538,-0.13997999865316346,683.7920654296875,714.4772143554687,689.3711719395603,53.86575397592293,-3.6853743159259693,-8.4595659849734,0.011636109811810236,-0.14048615289361518,1.4088759178310841,Bearish
2024-03-14,696.82177734375,701.8727952571851,691.4835692094714,700.0055912755553,52432158,-0.0033893600091833287,-0.14289491605282623,685.5012634277343,712.1537585449219,690.0807534066261,52.2313717715243,-2.7846065579051356,-7.324574099559747,0.011489759422789576,-0.14339935475433688,1.224479798669897,Bearish
2024-03-15,695.481201171875,698.665014815619,690.5020104857863,694.2124563732988,143613804,-0.0019238436792047287,-0.1445438522509922,686.4252838134765,709.793916015625,690.5950817652213,51.28343306927308,-2.1540839742160642,-6.290476074491011,0.010603124977140714,-0.14504732049129548,2.9968623425711565,Bearish
2024-03-18,692.3212890625,697.0849990233024,687.4139255734966,692.7760944963727,21437856,-0.004543490325907618,-0.14843060898252802,687.0512725830079,707.6217492675781,690.7594824602002,49.024863825791144,-1.887609594304763,-5.409902778453762,0.010662708324598136,-0.14893178971975204,0.4524234446821359,Bearish
2024-03-19,693.9012451171875,695.361508487081,687.2703309378574,687.2703309378574,36183594,0.0022821139254969314,-0.14648723061676006,687.8232879638672,705.3093029785156,691.0586979513419,50.205702627990526,-1.5312857698488642,-4.634179376732782,0.010643419622311093,-0.14698955510552375,0.7622238529833167,Bearish
2024-03-20,685.1398315429688,695.002424269405,682.0757097447741,693.757641226056,43606094,-0.01262631193685071,-0.15726394908507813,687.2667236328125,702.9044567871093,690.4949963886397,44.10433299090815,-1.9335803147871502,-4.094059564343656,0.009287211421962212,-0.15775993106815325,0.93086474779123,Bearish
2024-03-21,692.1776733398438,694.8108929167894,688.6108811083764,690.6695449843953,28922860,0.010272124715075215,-0.14860725926819007,687.4247161865235,700.8199035644532,690.6552513363733,49.42161004720882,-1.6653099680247578,-3.6083096450798764,0.009307691627912092,-0.14910833604005178,0.628809752102703,Bearish
2024-03-22,690.7892456054688,694.5715181893103,688.3475445643155,689.9035379705642,45980326,-0.002005883442723122,-0.1503150538700787,687.9824768066406,698.8315832519531,690.6680126953348,48.44255601492843,-1.5469065245225693,-3.1960290209684152,0.008740602912966541,-0.15081512554034016,1.0046573205910185,Bearish
2024-03-26,682.4347534179688,688.4432464905726,680.8787600753138,683.2964992802526,56844290,-0.01209412601694082,-0.1605912506832715,688.0973815917969,696.6239868164063,689.883892764157,42.93135977664684,-2.1029669467128542,-2.9774166061173033,0.009207772782788457,-0.16108527442373533,1.2064313686855213,Bearish
2024-03-27,689.7598876953125,693.2309499256703,680.4478889511747,681.5490768981103,62168668,0.010733823622926408,-0.15158118522056452,688.5378479003906,694.629443359375,689.8720827576004,48.46719119204326,-1.9303201904447178,-2.7679973229827866,0.009503827640939395,-0.152080511724724,1.2674341938532165,Bearish
2024-03-28,693.2069702148438,699.2394246339555,689.75981165874,689.75981165874,55592142,0.004997510845475395,-0.14734120299219888,689.2021331787109,692.7785290527344,690.1896910868618,50.88180936461292,-1.4980767451957036,-2.51401320742537,0.009536022520567278,-0.1478430248859783,1.1068387115014309,Bearish
