Date,Close,High,Low,Open,Volume,Daily_Return,Cumulative_Return,SMA20,SMA50,EMA20,RSI,MACD,MACD_Signal,Volatility,Drawdown,Volume_Ratio,Trend
2024-03-13,707.7025756835938,723.281988208107,703.67750248633,718.4992657346983,27950252,-0.01638818729192093,0.1651204410074203,722.2734130859375,655.1285620117187,711.4113353614542,52.96707056456882,19.812203860536897,24.56088688857735,0.016259501285123514,-0.051773421014518296,1.438869400878433,Bullish
2024-03-14,701.8307495117188,711.0647417125944,695.2012166495516,710.2124078847078,19730882,-0.008297025295129434,0.15545340723650947,722.1621307373047,657.0170324707032,710.4988986138604,50.40745268896539,16.725952894345824,22.993900089731046,0.013472694462779922,-0.05964088092587484,1.0623660322025257,Bullish
2024-03-15,693.1650390625,707.0396696118478,684.7360384273795,700.1260254598068,29792241,-0.01234729378165278,0.14118668456634853,720.7509857177735,658.7681750488281,708.8480548470642,46.81208868429348,13.426059105576542,21.080331892900148,0.012400247006792072,-0.07125177122933928,1.6222176703596285,Bullish
2024-03-18,692.2653198242188,698.8475105936745,683.8836612570906,688.6190419826069,18145126,-0.0012979870414383532,0.13970543903791932,719.626333618164,660.4255578613281,707.2687467496504,46.44171181977118,10.61589623661439,18.987444761642998,0.012281749809108455,-0.07245727439504243,1.0134602533101877,Bullish
2024-03-19,685.4937133789062,695.4853553107556,682.983996236656,691.3655971347375,15205043,-0.009781808002503944,0.12855705925384098,717.947640991211,661.9607678222657,705.1949340476748,43.64292955655525,7.753037677127736,16.740563344739947,0.012278709099327604,-0.08153031925102933,0.846351260618408,Bullish
2024-03-20,697.2847900390625,699.8419071119082,681.7053763780509,686.7722682789549,25405455,0.017200853093219726,0.1479692034373823,716.8182525634766,663.746953125,704.4415869992355,49.365058534247105,6.362302326464032,14.664911141084765,0.013019743808488506,-0.06573185720188984,1.3652051869065427,Bullish
2024-03-21,704.9087524414062,710.8753205031713,701.3572169516723,702.730488902024,15161161,0.010933785608483904,0.1605208525929087,715.5302276611328,665.9687939453125,704.4860789461089,52.70857596113335,5.808369325117155,12.893602777891244,0.012777954147224269,-0.055516769627698984,0.8287481950210686,Bullish
2024-03-22,707.1817626953125,709.170599460014,702.1622707327812,704.4825610232863,15535921,0.003224545369927334,0.16426300473484123,714.6210327148438,668.2664001464843,704.7428107317473,53.690391100382655,5.489506745169933,11.412783571346981,0.012753606840596447,-0.052471240600227884,0.856876092905553,Bullish
2024-03-26,700.8837280273438,708.270910802939,699.4157714829856,703.7249566183376,14678342,-0.008905821671595149,0.1538942860358372,713.7213134765625,670.5071826171875,704.3752790456136,50.55834247701811,4.674719830157642,10.065170823109115,0.012752393580861266,-0.06090976276015001,0.8083847225731424,Bullish
2024-03-27,694.4909057617188,706.3766994815164,691.5549929179226,703.6775556672179,30088789,-0.009121088149125378,0.14336951453813218,712.5090515136719,672.6494677734376,703.4339101614331,47.5275931557699,3.473112125352827,8.746759083557858,0.012871405302054838,-0.06947528759399772,1.5757995813137822,Bullish
2024-03-28,712.53271484375,719.3516746513696,697.9004346418056,698.7054262433901,21705116,0.025978467007055972,0.1730725017484347,712.6274383544921,674.8987731933594,704.3004629883204,55.61431100923041,3.9313345953645467,7.783674185919197,0.014016216031705917,-0.04530168205350812,1.1141635790414153,Bullish
